Engine,ELO,W,L,D,Score
Cuckoo 100%,2712,1,0,0,1
Cuckoo 25%,2605,0,0,0,0
Cuckoo 50%,2572,0,0,0,0
Flux 100%,2421,0,0,0,0
Cuckoo 12%,2327,0,0,0,0
Flux 50%,2317,1,0,0,1
Rival 100%,2263,0,0,0,0
Rival 60%,2258,0,0,0,0
Rival 90%,2227,0,0,0,0
Rival 75%,2192,1,0,0,1
Flux 25%,2172,1,0,0,1
Cuckoo 6%,2124,0,1,0,0
Cuckoo 3%,2113,0,0,0,0
Flux 12%,2100,0,0,0,0
Rival 50%,2098,0,1,0,0
Flux 6%,2073,1,0,0,1
Rival 25%,2014,0,0,0,0
Rival 7.5%,1954,1,0,0,1
Rival 10%,1898,0,0,0,0
Flux 3%,1839,0,1,0,0
Rival 5%,1791,0,0,0,0
Rival 2.5%,1711,0,1,0,0
Rival 1.5%,1647,0,0,0,0
Rival 2%,1624,0,0,0,0
Rival 0.75%,1614,0,0,0,0
Rival 1%,1609,0,1,0,0
Rival 1.25%,1576,0,0,0,0
Rival 0.5%,1563,0,1,0,0
Rival 0.2%,1448,1,0,0,1
Rival 0.35%,1443,0,0,0,0
Rival 0.1%,1362,0,0,0,0
Rival 0.15%,1300,0,0,0,0
Rival 0.05%,1278,0,0,0,0
Rival 0.075%,1271,0,0,0,0
Rival 0.025%,1217,0,0,0,0
Rival 0.015%,1095,0,0,0,0
Rival 0.01%,1068,0,1,0,0
